CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,row_num
1060,1779.796624,1.0,50.37,0.0,50.37,0.0,0.25,0.0,0.25,0.0,0,3,2000.0,578.775786,391.941294,0.0,12,45
1133,126.32794,0.909091,718.01,718.01,0.0,0.0,0.25,0.25,0.0,0.0,0,5,7500.0,1067.973689,157.340797,0.0,12,47
1173,16.887571,0.363636,1083.0,1083.0,0.0,0.0,0.25,0.25,0.0,0.0,0,3,1200.0,3905.430817,,0.0,12,49
1250,1557.750089,1.0,283.6,204.27,79.33,0.0,0.25,0.125,0.125,0.0,0,2,5000.0,424.829757,282.152847,0.0,8,51
1432,330.273411,1.0,53.8,53.8,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2500.0,429.112894,171.6492,0.0,12,53
1454,3144.690403,1.0,865.94,865.94,0.0,0.0,0.25,0.25,0.0,0.0,0,4,3500.0,1018.210531,977.712784,0.0,12,55
1573,61.763018,1.0,35.3,0.0,35.3,0.0,0.25,0.0,0.25,0.0,0,3,1500.0,75.285164,171.993034,0.0,12,57
1711,0.0,0.0,9.28,0.0,9.28,0.0,0.25,0.0,0.25,0.0,0,3,5000.0,0.0,,0.0,12,59
1805,37.683028,1.0,356.27,1.4,354.87,0.0,0.25,0.166667,0.166667,0.0,0,6,6500.0,96.582811,81.329167,0.0,12,61
1882,154.641707,0.363636,1897.92,97.92,1800.0,0.0,0.25,0.166667,0.166667,0.0,0,5,13500.0,5563.437084,248.700571,1.0,12,63
1917,184.890347,0.454545,1686.86,1686.86,0.0,0.0,0.25,0.25,0.0,0.0,0,5,6000.0,3873.506886,127.016328,0.0,12,65
2062,82.470475,0.545455,282.75,0.0,282.75,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,563.922891,84.236228,0.0,12,67
2116,73.10055,1.0,78.09,0.0,78.09,0.0,0.25,0.0,0.166667,0.0,0,3,4000.0,93.718849,256.977391,0.0,12,69
2176,623.095349,0.727273,1010.0,1010.0,0.0,0.0,0.25,0.25,0.0,0.0,0,4,5000.0,2063.173023,179.679908,0.0,12,71
2256,32.612016,0.454545,545.88,545.88,0.0,0.0,0.25,0.25,0.0,0.0,0,4,2000.0,1100.892272,150.867379,0.5,12,73
2418,13.925681,0.272727,462.78,422.78,40.0,0.0,0.25,0.25,0.083333,0.0,0,17,2000.0,1047.090159,119.325453,1.0,12,75
2448,11.441738,0.363636,93.6,0.0,93.6,0.0,0.25,0.0,0.25,0.0,0,3,1900.0,603.723258,130.224347,0.25,12,77
2480,193.103834,1.0,246.56,246.56,0.0,0.0,0.25,0.25,0.0,0.0,0,3,600.0,3540.713522,1987.489882,0.083333,12,79
2556,1359.527692,1.0,92.1,0.0,92.1,0.0,0.25,0.0,0.25,0.0,0,3,1500.0,487.05295,495.317878,0.0,12,81
2682,828.013302,1.0,126.48,0.0,126.48,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,301.728915,224.641178,0.0,12,83
2699,602.210858,1.0,965.0,965.0,0.0,0.0,0.25,0.25,0.0,0.0,0,5,1200.0,258.748232,210.582556,0.0,12,85
2787,15.848963,0.363636,150.0,0.0,150.0,0.0,0.25,0.0,0.166667,0.0,0,3,1600.0,119.468878,68.370436,0.181818,12,87
2814,4.448015,0.272727,71.81,0.0,71.81,0.0,0.25,0.0,0.25,0.0,0,3,3000.0,257.226631,130.382506,1.0,12,89
2946,22.56964,0.545455,248.1,110.8,137.3,0.0,0.25,0.166667,0.083333,0.0,0,7,1200.0,111.212325,74.477866,0.0,12,91
3023,4496.709257,1.0,945.26,945.26,0.0,0.0,0.25,0.25,0.0,0.0,0,4,9500.0,1149.199704,1093.331983,0.0,12,93
3096,57.862875,0.272727,579.0,0.0,579.0,0.0,0.25,0.0,0.25,0.0,0,6,5000.0,2124.54787,129.84145,1.0,12,95
3131,383.370294,1.0,326.74,326.74,0.0,0.0,0.25,0.25,0.0,0.0,0,3,600.0,525.776492,199.590057,0.0,12,97
3163,6.484008,0.272727,61.71,0.0,61.71,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,233.763723,136.908362,1.0,12,99
3294,1504.334228,0.909091,565.0,565.0,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2200.0,2511.315474,471.295665,0.0,12,101
3420,2828.808139,1.0,199.0,0.0,199.0,0.0,0.25,0.0,0.166667,0.0,0,3,8000.0,615.69756,792.533866,0.0,12,103
3519,1029.101022,1.0,49.1,0.0,49.1,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,59.924534,8269.955787,0.0,12,105
3695,1171.429087,0.909091,1845.42,1845.42,0.0,0.0,0.25,0.25,0.0,0.0,0,7,3000.0,3073.603769,855.360889,0.1,12,107
3756,996.619846,0.727273,581.8,520.0,61.8,0.0,0.25,0.083333,0.166667,0.0,0,3,8500.0,2088.919798,238.591204,0.0,12,109
3814,939.152528,1.0,3393.25,3364.59,77.66,0.0,0.25,0.25,0.083333,0.0,0,5,9000.0,2768.821579,267.093439,0.0,12,111
3917,117.777688,0.727273,853.3,853.3,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2000.0,851.921672,73.600798,0.0,12,113
4014,1150.280984,1.0,450.0,250.0,200.0,0.0,0.25,0.166667,0.083333,0.0,0,4,1200.0,839.754013,766.890275,0.0,12,115
4091,64.472043,0.727273,200.02,0.0,200.02,0.0,0.25,0.0,0.25,0.0,0,3,1200.0,442.334336,170.875613,0.222222,12,117
4160,159.210281,1.0,247.8,75.8,172.0,0.0,0.25,0.083333,0.166667,0.0,0,3,5000.0,607.575208,155.618451,0.0,12,119
4192,1125.306541,1.0,703.05,703.05,0.0,0.0,0.25,0.25,0.0,0.0,0,9,1300.0,104.476763,421.150061,0.0,8,121
4275,64.329876,0.272727,627.03,482.03,145.0,0.0,0.25,0.166667,0.166667,0.0,0,8,6000.0,1513.704151,112.874987,1.0,12,123
4365,7.099375,0.363636,81.12,0.0,81.12,0.0,0.25,0.0,0.166667,0.0,0,3,4000.0,157.006258,86.15393,0.5,12,125
4427,791.117673,1.0,854.2,854.2,0.0,0.0,0.25,0.25,0.0,0.0,0,3,7350.0,5346.679636,5583.630482,0.416667,12,127
4537,216.685655,0.545455,921.18,469.78,451.4,0.0,0.25,0.166667,0.166667,0.0,0,9,4500.0,892.146005,69.378949,0.0,12,129
4677,492.265287,1.0,424.5,0.0,424.5,0.0,0.25,0.0,0.25,0.0,0,3,4000.0,142.123847,292.596739,0.0,12,131
4753,26.354114,0.363636,1148.31,1148.31,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6000.0,1162.170922,46.962114,0.1,12,133
4831,20.502046,0.818182,53.36,0.0,53.36,0.0,0.25,0.0,0.166667,0.0,0,3,2500.0,88.897909,144.512685,0.0,12,135
4922,49.378783,0.375,542.34,542.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2700.0,387.944071,113.60971,1.0,8,137
5002,23.111629,0.363636,237.66,0.0,237.66,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,538.820587,131.332498,1.0,12,139
5084,1082.653038,1.0,343.22,343.22,0.0,0.0,0.25,0.25,0.0,0.0,0,4,1200.0,510.918269,282.782763,0.0,12,141
5137,2011.929899,1.0,208.5,0.0,208.5,0.0,0.25,0.0,0.25,0.0,0,3,7000.0,517.558081,1109.232571,0.0,12,143
5246,3.019634,0.25,45.6,0.0,45.6,0.0,0.25,0.0,0.25,0.0,0,2,1600.0,73.212859,111.928897,0.0,8,145
5307,38.316222,0.272727,436.75,0.0,436.75,0.0,0.25,0.0,0.25,0.0,0,3,3000.0,1634.962881,139.00528,1.0,12,147
5452,126.622651,0.375,1015.3,1015.3,0.0,0.0,0.25,0.25,0.0,0.0,0,5,4500.0,2583.278505,75.160365,1.0,8,149
5650,1607.053725,1.0,451.9,335.0,116.9,0.0,0.25,0.083333,0.166667,0.0,0,6,2500.0,569.867313,482.831701,0.0,12,151
5746,18.906225,0.272727,143.73,0.0,143.73,0.0,0.25,0.0,0.166667,0.0,0,3,2500.0,0.0,,0.0,12,153
5779,21.187313,0.272727,319.41,0.0,319.41,0.0,0.25,0.0,0.166667,0.0,0,6,6000.0,135.546054,29.013477,0.083333,12,155
5831,16.553858,0.272727,308.16,308.16,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2500.0,291.719987,28.242152,0.0,12,157
5877,5.336222,0.272727,57.0,0.0,57.0,0.0,0.25,0.0,0.166667,0.0,0,3,5000.0,164.041195,124.16248,1.0,12,159
6026,379.767959,1.0,493.5,493.5,0.0,0.0,0.25,0.25,0.0,0.0,0,3,4000.0,3308.04995,3396.356156,0.272727,12,161
6182,42.125651,0.636364,453.89,453.89,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6500.0,793.296498,127.427088,1.0,12,163
6272,2530.378121,1.0,55.5,0.0,55.5,0.0,0.25,0.0,0.25,0.0,0,3,3500.0,1041.914403,585.213037,0.0,12,165
6294,768.881695,0.727273,408.59,408.59,0.0,0.0,0.25,0.25,0.0,0.0,0,7,2500.0,2095.952073,250.856639,0.125,12,167
6394,16.176672,0.363636,95.55,0.0,95.55,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,136.961964,59.907285,0.0,12,169
6474,6.149295,0.181818,169.01,0.0,169.01,0.0,0.25,0.0,0.25,0.0,0,3,10000.0,731.852542,128.525835,0.666667,12,171
6627,2.850024,0.181818,114.56,0.0,114.56,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,403.212926,130.700011,0.333333,12,173
6718,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,,0.0,12,175
6751,637.379659,1.0,37.62,0.0,37.62,0.0,0.25,0.0,0.25,0.0,0,3,1500.0,1691.81869,4887.636705,0.083333,12,177
6863,10.684577,0.181818,300.0,0.0,300.0,0.0,0.25,0.0,0.25,0.0,0,3,4000.0,368.807294,,0.0,12,179
6957,23.111088,0.363636,300.0,0.0,300.0,0.0,0.25,0.0,0.166667,0.0,0,3,12500.0,291.948834,43.452683,0.181818,12,181
6971,1373.174839,1.0,215.0,0.0,215.0,0.0,0.25,0.0,0.166667,0.0,0,10,8500.0,598.012696,319.996667,0.0,12,183
7050,105.182503,0.272727,787.09,754.47,32.62,0.0,0.25,0.25,0.083333,0.0,0,11,2500.0,840.571045,147.116092,0.0,12,185
7188,687.378139,1.0,74.42,0.0,74.42,0.0,0.25,0.0,0.25,0.0,0,3,700.0,353.250281,492.588377,0.0,12,187
7226,42.755706,0.545455,350.94,284.29,66.65,0.0,0.25,0.25,0.25,0.0,0,9,5000.0,1191.823088,195.006921,0.4,12,189
7291,51.818382,0.454545,903.36,903.36,0.0,0.0,0.25,0.25,0.0,0.0,0,6,15000.0,538.841222,41.302445,0.0,12,191
7429,968.188634,1.0,69.44,0.0,69.44,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,251.875749,443.131452,0.0,12,193
7460,190.324034,1.0,322.33,238.97,83.36,0.0,0.25,0.083333,0.166667,0.0,0,3,6500.0,524.430161,175.583266,0.0,12,195
7490,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,197
7553,16.629043,0.272727,286.56,0.0,286.56,0.0,0.25,0.0,0.25,0.0,0,3,1500.0,1080.55703,130.267549,1.0,12,199
7571,46.103924,0.818182,443.25,443.25,0.0,0.0,0.25,0.25,0.0,0.0,0,3,6500.0,417.350534,93.536782,0.0,12,201
7630,65.253182,0.363636,1027.41,1027.41,0.0,0.0,0.25,0.25,0.0,0.0,0,7,6000.0,1558.234063,165.821848,0.666667,12,203
7729,440.161534,1.0,365.0,116.0,249.0,0.0,0.25,0.083333,0.166667,0.0,0,6,800.0,230.655936,209.080877,0.0,12,205
7869,42.51225,0.272727,523.15,75.2,447.95,0.0,0.25,0.083333,0.25,0.0,0,7,2000.0,925.820102,164.103619,1.0,12,207
8030,28.320092,0.363636,332.5,0.0,332.5,0.0,0.25,0.0,0.166667,0.0,0,6,3000.0,812.371249,162.177358,0.333333,12,209
8120,208.707195,0.545455,2351.58,2351.58,0.0,0.0,0.25,0.25,0.0,0.0,0,7,4500.0,3711.189548,162.638519,1.0,12,211
8211,0.0,0.0,37.65,0.0,37.65,0.0,0.25,0.0,0.25,0.0,0,3,1500.0,0.0,,0.0,12,213
8316,89.567592,0.545455,990.73,990.73,0.0,0.0,0.25,0.25,0.0,0.0,0,9,4000.0,2626.23328,102.594438,0.5,12,215
8407,11.567196,0.454545,116.97,0.0,116.97,0.0,0.25,0.0,0.25,0.0,0,6,2500.0,387.714131,140.21546,0.333333,12,217
8450,87.908147,0.545455,895.11,895.11,0.0,0.0,0.25,0.25,0.0,0.0,0,5,16500.0,1082.659906,103.425559,0.0,12,219
8510,927.983543,1.0,1321.52,1321.52,0.0,0.0,0.25,0.25,0.0,0.0,0,15,4500.0,527.949934,264.030133,0.0,12,221
8657,41.461969,0.272727,550.08,0.0,550.08,0.0,0.25,0.0,0.166667,0.0,0,4,6000.0,1104.875573,168.561947,1.0,12,223
8770,501.360034,1.0,107.27,107.27,0.0,0.0,0.25,0.25,0.0,0.0,0,3,7500.0,614.163281,188.038862,0.0,12,225
8861,422.723099,0.727273,344.86,344.86,0.0,0.0,0.25,0.25,0.0,0.0,0,4,8500.0,1499.598264,185.217625,0.0,12,227
2117,16.690388,0.375,123.5,0.0,123.5,0.0,0.375,0.0,0.25,0.0,0,5,1500.0,191.654044,113.910529,0.0,8,229
4547,28.315171,0.5,225.02,111.7,113.32,0.0,0.375,0.125,0.125,0.0,0,3,10000.0,315.246249,118.313994,1.0,8,231
7411,743.52828,1.0,158.95,158.95,0.0,0.0,0.375,0.375,0.0,0.0,0,3,800.0,250.349363,185.179066,0.0,8,233
15,5429.372649,1.0,493.1,0.0,493.1,0.0,0.5,0.0,0.5,0.0,0,6,12000.0,1415.589572,1440.327788,0.0,12,235
64,126.872455,0.545455,568.5,0.0,568.5,0.0,0.5,0.0,0.5,0.0,0,6,2000.0,1294.215768,201.544737,0.0,12,237
93,39.554197,0.545455,353.9,0.0,353.9,0.0,0.5,0.0,0.5,0.0,0,6,2500.0,374.472803,85.914125,0.454545,12,239
113,1808.972419,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.017418,622.757696,0.0,10,241
218,3322.31489,1.0,676.0,601.0,75.0,0.0,0.5,0.25,0.333333,0.0,0,9,10000.0,867.587298,753.39587,0.0,12,243
317,22.084372,0.833333,173.6,0.0,173.6,0.0,0.5,0.0,0.333333,0.0,0,3,1500.0,209.452538,63.510706,0.333333,6,245
427,23.065122,0.7,150.0,0.0,150.0,0.0,0.5,0.0,0.4,0.0,0,5,1500.0,229.736383,116.745902,1.0,10,247
457,11.13998,0.636364,200.0,0.0,200.0,0.0,0.5,0.0,0.416667,0.0,0,6,3000.0,338.521478,184.326343,1.0,12,249
563,1106.910402,1.0,515.98,286.81,229.17,0.0,0.5,0.166667,0.416667,0.0,0,7,12000.0,1867.692351,283.339719,0.0,12,251
694,144.129221,0.727273,949.59,272.0,677.59,0.0,0.5,0.25,0.333333,0.0,0,11,4000.0,999.711434,121.912794,0.1,12,253
713,880.259646,1.0,831.52,609.37,222.15,0.0,0.5,0.333333,0.416667,0.0,0,20,1200.0,975.402992,229.25572,0.0,12,255
732,131.260514,0.5,1109.91,1109.91,0.0,0.0,0.5,0.5,0.0,0.0,0,21,9500.0,2137.485075,89.478836,1.0,10,257
765,4.383989,0.545455,96.5,0.0,96.5,0.0,0.5,0.0,0.416667,0.0,0,6,4500.0,217.143643,66.781434,1.0,12,259
801,2092.855291,1.0,1624.05,1205.75,418.3,0.0,0.5,0.25,0.333333,0.0,0,13,8500.0,3794.796448,559.169569,0.083333,12,261
818,13.036611,0.818182,197.0,0.0,197.0,0.0,0.5,0.0,0.416667,0.0,0,6,1000.0,224.836018,89.18596,0.444444,12,263
912,3310.573808,1.0,717.14,649.14,68.0,0.0,0.5,0.333333,0.083333,0.0,0,7,12500.0,1372.959063,775.796181,0.0,12,265
1031,24.719209,0.545455,280.04,0.0,280.04,0.0,0.5,0.0,0.5,0.0,0,6,2500.0,538.899429,140.502909,0.666667,12,267
1116,464.445178,1.0,436.3,0.0,436.3,0.0,0.5,0.0,0.4,0.0,0,5,1800.0,523.180176,182.241613,0.0,10,269
1214,28.909122,1.0,177.05,0.0,177.05,0.0,0.5,0.0,0.333333,0.0,0,5,1200.0,165.005267,88.205007,0.0,6,271
1312,29.360369,0.545455,520.3,424.5,95.8,0.0,0.5,0.083333,0.333333,0.0,0,6,4000.0,381.22527,100.321702,0.181818,12,273
1356,13.125634,0.545455,106.98,0.0,106.98,0.0,0.5,0.0,0.5,0.0,0,6,2500.0,275.244392,142.4175,0.5,12,275
1395,87.802127,0.818182,803.95,803.95,0.0,0.0,0.5,0.5,0.0,0.0,0,8,1000.0,1134.379946,137.584907,0.666667,12,277
1438,21.12921,0.545455,229.5,54.0,175.5,0.0,0.5,0.083333,0.416667,0.0,0,7,3150.0,423.206638,157.471831,0.714286,12,279
1468,169.343874,0.818182,1553.8,1553.8,0.0,0.0,0.5,0.5,0.0,0.0,0,8,16500.0,1921.042991,125.895667,0.8,12,281
1482,61.976914,0.818182,401.63,401.63,0.0,0.0,0.5,0.5,0.0,0.0,0,7,6000.0,806.587482,130.017867,0.2,12,283
1717,56.837819,0.727273,584.34,584.34,0.0,0.0,0.5,0.5,0.0,0.0,0,8,9500.0,1074.374998,128.896127,0.1,12,285
1759,51.923357,0.3,835.31,250.0,585.31,0.0,0.5,0.1,0.4,0.0,0,13,7000.0,832.140348,70.583398,0.25,10,287
1772,152.255187,0.833333,894.28,894.28,0.0,0.0,0.5,0.5,0.0,0.0,0,5,4000.0,304.061592,84.043137,0.0,6,289
1879,27.857993,0.636364,352.23,0.0,352.23,0.0,0.5,0.0,0.416667,0.0,0,7,2500.0,299.490096,98.217199,0.272727,12,291
1888,830.51605,1.0,1059.04,799.04,260.0,0.0,0.5,0.333333,0.25,0.0,0,8,3000.0,182.53903,400.00556,0.0,12,293
1936,991.097892,1.0,180.0,0.0,180.0,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,463.990395,1913.53663,0.0,12,295
1974,121.663829,1.0,488.52,0.0,488.52,0.0,0.5,0.0,0.416667,0.0,0,6,7500.0,459.429985,255.903482,0.0,12,297
2103,1364.390161,1.0,786.0,646.0,140.0,0.0,0.5,0.166667,0.416667,0.0,0,10,5000.0,599.435586,323.619258,0.0,12,299
2223,1261.488342,1.0,890.2,890.2,0.0,0.0,0.5,0.5,0.0,0.0,0,9,3000.0,302.073647,330.87851,0.0,12,301
2292,42.375573,0.909091,150.56,0.0,150.56,0.0,0.5,0.0,0.5,0.0,0,6,4000.0,278.128216,156.291747,0.1,12,303
2403,38.160715,0.545455,340.0,0.0,340.0,0.0,0.5,0.0,0.416667,0.0,0,6,5000.0,888.221177,146.348596,1.0,12,305
2511,268.966315,0.727273,784.0,659.0,125.0,0.0,0.5,0.25,0.333333,0.0,0,12,10500.0,514.650308,159.17308,0.166667,12,307
2586,186.706199,1.0,868.0,0.0,868.0,0.0,0.5,0.0,0.416667,0.0,0,6,4000.0,618.964215,268.075781,0.0,12,309
2664,170.907823,0.909091,1366.3,1366.3,0.0,0.0,0.5,0.5,0.0,0.0,0,11,2000.0,3453.112338,139.388035,0.4,12,311
2737,5.404443,0.5,194.0,0.0,194.0,0.0,0.5,0.0,0.333333,0.0,0,3,1500.0,269.175108,34.59541,1.0,6,313
2769,268.797746,1.0,70.0,0.0,70.0,0.0,0.5,0.0,0.416667,0.0,0,6,1000.0,105.954038,229.157988,0.0,12,315
2827,1674.490411,1.0,421.71,334.94,86.77,0.0,0.5,0.5,0.166667,0.0,0,11,1700.0,790.338065,691.969013,0.0,12,317
2837,396.667584,1.0,2559.41,2469.41,90.0,0.0,0.5,0.333333,0.166667,0.0,0,8,4000.0,827.889811,188.185292,0.0,12,319
2877,743.245283,0.6,1610.06,1211.9,398.16,0.0,0.5,0.2,0.4,0.0,0,10,3500.0,274.724354,347.761624,0.0,10,321
3020,47.587585,0.727273,414.8,53.0,361.8,0.0,0.5,0.083333,0.416667,0.0,0,8,4500.0,545.768039,135.094235,1.0,12,323
3102,80.762254,0.636364,861.9,150.0,711.9,0.0,0.5,0.083333,0.416667,0.0,0,7,6000.0,1426.507994,147.707838,1.0,12,325
3206,820.05973,1.0,162.56,0.0,162.56,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,215.685296,7281.645049,0.0,12,327
3285,31.812848,0.636364,662.0,235.0,427.0,0.0,0.5,0.083333,0.416667,0.0,0,7,3500.0,955.231844,127.625326,0.5,12,329
3396,807.555134,0.818182,242.06,0.0,242.06,0.0,0.5,0.0,0.5,0.0,0,6,1000.0,1610.237285,504.351185,0.0,12,331
3522,33.078633,0.5,303.91,0.0,303.91,0.0,0.5,0.0,0.333333,0.0,0,4,1200.0,354.34847,83.653033,1.0,6,333
3581,1098.52228,1.0,285.24,0.0,285.24,0.0,0.5,0.0,0.5,0.0,0,9,1200.0,554.294411,724.979174,0.0,12,335
3652,42.653615,1.0,93.24,0.0,93.24,0.0,0.5,0.0,0.5,0.0,0,6,5000.0,156.57819,95.992733,0.0,12,337
3716,50.571196,0.545455,499.98,0.0,499.98,0.0,0.5,0.0,0.416667,0.0,0,6,2500.0,744.260461,235.440351,0.2,12,339
3750,2786.743524,1.0,231.63,86.63,145.0,0.0,0.5,0.166667,0.25,0.0,0,6,3000.0,711.838166,750.333981,0.0,12,341
3914,70.162707,0.636364,599.0,0.0,599.0,0.0,0.5,0.0,0.416667,0.0,0,6,1000.0,1007.348156,139.86007,1.0,12,343
4042,162.722336,1.0,222.7,94.7,128.0,0.0,0.5,0.166667,0.333333,0.0,0,8,4250.0,367.719858,166.661302,0.0,12,345
4173,289.537597,0.909091,1216.7,1216.7,0.0,0.0,0.5,0.5,0.0,0.0,0,9,5000.0,788.58998,188.958312,0.0,12,347
4269,2021.514867,1.0,1582.84,1554.89,27.95,0.0,0.5,0.416667,0.083333,0.0,0,8,2500.0,565.380786,486.702058,0.0,12,349
4303,8.258214,0.545455,92.46,0.0,92.46,0.0,0.5,0.0,0.416667,0.0,0,6,300.0,127.082375,93.717243,0.75,12,351
4432,4619.500393,1.0,1870.8,1148.75,722.05,0.0,0.5,0.166667,0.416667,0.0,0,11,5000.0,2296.399555,2771.549821,0.0,12,353
4473,72.025683,0.545455,891.28,0.0,891.28,0.0,0.5,0.0,0.5,0.0,0,6,10000.0,7220.399443,139.16394,0.833333,12,355
4589,50.435246,0.636364,553.73,553.73,0.0,0.0,0.5,0.5,0.0,0.0,0,8,13000.0,371.23017,118.538181,0.545455,12,357
4657,51.161976,0.25,736.72,736.72,0.0,0.0,0.5,0.5,0.0,0.0,0,5,4500.0,1665.89154,54.443091,1.0,8,359
4672,417.841508,1.0,311.86,0.0,311.86,0.0,0.5,0.0,0.416667,0.0,0,7,3000.0,802.93759,223.716043,0.0,12,361
4701,37.615084,0.909091,229.5,0.0,229.5,0.0,0.5,0.0,0.416667,0.0,0,6,6000.0,229.256141,180.598109,0.444444,12,363
4734,336.749543,0.818182,3081.69,3081.69,0.0,0.0,0.5,0.5,0.0,0.0,0,22,2000.0,3631.007239,133.854497,0.0,12,365
4841,1337.107101,1.0,466.67,0.0,466.67,0.0,0.5,0.0,0.416667,0.0,0,15,1500.0,555.683726,577.688088,0.0,12,367
4916,437.735369,0.909091,483.65,483.65,0.0,0.0,0.5,0.5,0.0,0.0,0,11,6000.0,1497.949644,211.310481,0.2,12,369
4936,132.730466,0.909091,739.98,0.0,739.98,0.0,0.5,0.0,0.416667,0.0,0,6,9500.0,1167.353193,172.959558,0.5,12,371
